ilkid,firstname,lastname,year,team,team-name,leag,gp,minutes,pts,oreb,dreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,position,salary
WilliDe01,Deron,Williams,2009,UTA,Utah Jazz,N,76,2802,1419,50,253,303,798,96,16,252,208,1053,494,418,335,259,96,Guard,13520496
WilliJa02,Jason,Williams,2009,ORL,Orlando Magic,N,82,1703,493,7,119,126,298,53,3,87,65,426,189,41,31,221,84,Guard,1306455
WilliJa04,Jawad,Williams,2009,CLE,Cleveland Cavaliers,N,54,742,224,16,67,83,34,12,5,18,73,206,81,45,32,93,30,Forward,736420
WilliLo02,Louis,Williams,2009,PHI,Philadelphia 76ers,N,64,1912,898,25,162,187,268,80,15,106,110,677,318,233,192,206,70,Guard,4972500
WilliMa01,Mo,Williams,2009,CLE,Cleveland Cavaliers,N,69,2359,1092,28,178,206,368,70,21,173,170,855,378,198,177,371,159,Guard,8860000
WilliMa02,Marvin,Williams,2009,ATL,Atlanta Hawks,N,81,2468,820,106,310,416,93,66,46,72,160,664,302,215,176,132,40,Forward,7500000
WilliRe02,Reggie,Williams,2009,GSW,Golden State Warriors,N,24,782,365,18,92,110,66,22,6,29,49,283,140,62,52,92,33,Guard,121226
WilliSe01,Sean,Williams,2009,NJN,New Jersey Nets,N,20,227,52,21,25,46,1,8,19,20,41,49,21,19,10,1,0,Forward,1629120
WilliSh03,Shelden,Williams,2009,BOS,Boston Celtics,N,54,597,201,47,99,146,21,13,21,30,85,121,63,98,75,1,0,Forward,855189
WilliTe01,Terrence,Williams,2009,NJN,New Jersey Nets,N,78,1764,656,46,302,348,223,43,10,124,126,651,261,144,103,100,31,Forward,2060040
WrighAn01,Antoine,Wright,2009,TOR,Toronto Raptors,N,67,1392,435,38,152,190,71,30,11,58,134,399,162,77,53,173,58,Guard,1800000
WrighDo01,Dorell,Wright,2009,MIA,Miami Heat,N,72,1496,510,50,185,235,91,52,32,53,94,419,194,69,61,157,61,Forward,2612834
WrighJu01,Julian,Wright,2009,NOH,New Orleans Hornets,N,68,871,259,58,86,144,41,29,18,44,45,232,116,41,25,6,2,Forward,2000040
YoungNi01,Nick,Young,2009,WAS,Washington Wizards,N,74,1421,639,20,82,102,48,28,8,56,147,558,233,130,104,170,69,Guard,1714800
YoungSa01,Sam,Young,2009,MEM,Memphis Grizzlies,N,80,1321,595,77,124,201,52,34,20,94,106,497,224,175,136,56,11,Forward,824200
YoungTh01,Thaddeus,Young,2009,PHI,Philadelphia 76ers,N,67,2145,926,130,220,350,97,81,15,126,133,813,382,165,114,138,48,Forward,2105400
